Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"102 Bartlett Avenue",Exton,PA,19341,40.021506,-75.629327,1,range_interpolation,102,"Bartlett Ave",,,Exton,PA,"Chester County",19341,US,"TIGER/Line® dataset from the US Census Bureau"
"8230 Gateway Overlook Dr",Elkridge,MD,21075,39.185392,-76.796441,1,rooftop,8230,"Gateway Overlook Dr",,,Elkridge,MD,"Howard County",21075,US,Howard
"796 Woodland Rd",Wyomissing,PA,19610,40.349021,-75.965685,0.62,nearest_rooftop_match,845,"Woodland Rd",,,Reading,PA,"Berks County",19610,US,Berks
"121 E. Joppa Rd",Towson,MD,21286,39.401415,-76.60019,1,rooftop,121,"E Joppa Rd",,,Towson,MD,"Baltimore County",21286,US,Baltimore
"11947U Fair Oaks Mall- G213",Fairfax,VA,22033,38.86057,-77.35914,1,range_interpolation,11947,"Fair Oaks Mall",,,Fairfax,VA,"Fairfax County",22033,US,"TIGER/Line® dataset from the US Census Bureau"
"19 Commerce Way","Woburn ",MA,01801,42.506752,-71.130509,1,rooftop,19,"Commerce Way",,,Woburn,MA,"Middlesex County",01801,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"1519 Silas Deane Hwy","Rocky Hill",CT,06067,41.680509,-72.653683,1,range_interpolation,1519,"Silas Deane Hwy",,,"Rocky Hill",CT,"Hartford County",06067,US,"TIGER/Line® dataset from the US Census Bureau"
"220 Indian River Rd",Orange,CT,06477,41.258617,-73.003508,1,range_interpolation,220,"Indian River Rd",,,Orange,CT,"New Haven County",06477,US,"TIGER/Line® dataset from the US Census Bureau"
"33 Border Way","W. Springfield",MA,01089,42.13752,-72.627215,1,rooftop,33,"Border Way",,,"West Springfield",MA,"Hampden County",01089,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"650 Bald Hill Rd",Warwick,RI,02886,41.719721,-71.483764,1,rooftop,650,"Bald Hill Rd",,,Warwick,RI,"Kent County",02886,US,Statewide
